VCD info: dumpfile control_unit.vcd opened for output.

### Test: control unit
--------------------------------------------------------------------------------
      TIME     OP    SIGNALS   S_EXP  ULA_OP   ULA_EXP 
         0    0x00    0x021    0x021    0x00    0x00
         2    0x01    0x010    0x010    0x01    0x01
         4    0x02    0x045    0x045    0x02    0x02
         6    0x03    0x008    0x008    0x03    0x03
         8    0x04    0x006    0x006    0x04    0x04
        10    0x05    0x34d    0x34d    0x05    0x05
        12    0x06    0x145    0x145    0x06    0x06
        14    0x07    0x085    0x085    0x07    0x07
        16    0x08    0x005    0x005    0x00    0x00
        18    0x09    0x005    0x005    0x01    0x01
        20    0x0a    0x005    0x005    0x02    0x02
        22    0x0b    0x005    0x005    0x03    0x03
        24    0x0c    0x005    0x005    0x04    0x04
        26    0x0d    0x005    0x005    0x05    0x05
        28    0x0e    0x005    0x005    0x06    0x06
        30    0x0f    0x005    0x005    0x07    0x07
