VCD info: dumpfile pc.vcd opened for output.

### Test: pc
--------------------------------------------------------------------------------
      TIME     CLK     PC   NEXT_PC EXPECTED
         0    0x00    0x01    0x01    0x00
         4    0x01    0x01    0x01    0x01
         8    0x00    0x02    0x02    0x01
        12    0x01    0x02    0x02    0x02
        16    0x00    0x03    0x03    0x02
        20    0x01    0x03    0x03    0x03
        24    0x00    0x04    0x04    0x03
        28    0x01    0x04    0x04    0x04
        32    0x00    0x05    0x05    0x04
        36    0x01    0x05    0x05    0x05
        40    0x00    0x06    0x06    0x05
        44    0x01    0x06    0x06    0x06
        48    0x00    0x07    0x07    0x06
        52    0x01    0x07    0x07    0x07
        56    0x00    0x08    0x08    0x07
        60    0x01    0x08    0x08    0x08
        64    0x00    0x09    0x09    0x08
        68    0x01    0x09    0x09    0x09
        72    0x00    0x0a    0x0a    0x09
        76    0x01    0x0a    0x0a    0x0a
        80    0x00    0x0b    0x0b    0x0a
        84    0x01    0x0b    0x0b    0x0b
        88    0x00    0x0c    0x0c    0x0b
        92    0x01    0x0c    0x0c    0x0c
        96    0x00    0x0d    0x0d    0x0c
       100    0x01    0x0d    0x0d    0x0d
       104    0x00    0x0e    0x0e    0x0d
       108    0x01    0x0e    0x0e    0x0e
       112    0x00    0x0f    0x0f    0x0e
       116    0x01    0x0f    0x0f    0x0f
       120    0x00    0x10    0x10    0x0f
       124    0x01    0x10    0x10    0x10
       128    0x00    0x11    0x11    0x10
       132    0x01    0x11    0x11    0x11
       136    0x00    0x12    0x12    0x11
       140    0x01    0x12    0x12    0x12
       144    0x00    0x13    0x13    0x12
       148    0x01    0x13    0x13    0x13
       152    0x00    0x14    0x14    0x13
       156    0x01    0x14    0x14    0x14
       160    0x00    0x15    0x15    0x14
       164    0x01    0x15    0x15    0x15
       168    0x00    0x16    0x16    0x15
       172    0x01    0x16    0x16    0x16
       176    0x00    0x17    0x17    0x16
       180    0x01    0x17    0x17    0x17
       184    0x00    0x18    0x18    0x17
       188    0x01    0x18    0x18    0x18
       192    0x00    0x19    0x19    0x18
       196    0x01    0x19    0x19    0x19
       200    0x00    0x1a    0x1a    0x19
       204    0x01    0x1a    0x1a    0x1a
       208    0x00    0x1b    0x1b    0x1a
       212    0x01    0x1b    0x1b    0x1b
       216    0x00    0x1c    0x1c    0x1b
       220    0x01    0x1c    0x1c    0x1c
       224    0x00    0x1d    0x1d    0x1c
       228    0x01    0x1d    0x1d    0x1d
       232    0x00    0x1e    0x1e    0x1d
       236    0x01    0x1e    0x1e    0x1e
       240    0x00    0x1f    0x1f    0x1e
       244    0x01    0x1f    0x1f    0x1f
       248    0x00    0x20    0x20    0x1f
       252    0x01    0x20    0x20    0x20
       256    0x00    0x21    0x21    0x20
       260    0x01    0x21    0x21    0x21
       264    0x00    0x22    0x22    0x21
       268    0x01    0x22    0x22    0x22
       272    0x00    0x23    0x23    0x22
       276    0x01    0x23    0x23    0x23
       280    0x00    0x24    0x24    0x23
       284    0x01    0x24    0x24    0x24
       288    0x00    0x25    0x25    0x24
       292    0x01    0x25    0x25    0x25
       296    0x00    0x26    0x26    0x25
       300    0x01    0x26    0x26    0x26
       304    0x00    0x27    0x27    0x26
       308    0x01    0x27    0x27    0x27
       312    0x00    0x28    0x28    0x27
       316    0x01    0x28    0x28    0x28
       320    0x00    0x29    0x29    0x28
       324    0x01    0x29    0x29    0x29
       328    0x00    0x2a    0x2a    0x29
       332    0x01    0x2a    0x2a    0x2a
       336    0x00    0x2b    0x2b    0x2a
       340    0x01    0x2b    0x2b    0x2b
       344    0x00    0x2c    0x2c    0x2b
       348    0x01    0x2c    0x2c    0x2c
       352    0x00    0x2d    0x2d    0x2c
       356    0x01    0x2d    0x2d    0x2d
       360    0x00    0x2e    0x2e    0x2d
       364    0x01    0x2e    0x2e    0x2e
       368    0x00    0x2f    0x2f    0x2e
       372    0x01    0x2f    0x2f    0x2f
       376    0x00    0x30    0x30    0x2f
       380    0x01    0x30    0x30    0x30
       384    0x00    0x31    0x31    0x30
       388    0x01    0x31    0x31    0x31
       392    0x00    0x32    0x32    0x31
       396    0x01    0x32    0x32    0x32
       400    0x00    0x33    0x33    0x32
       404    0x01    0x33    0x33    0x33
       408    0x00    0x34    0x34    0x33
       412    0x01    0x34    0x34    0x34
       416    0x00    0x35    0x35    0x34
       420    0x01    0x35    0x35    0x35
       424    0x00    0x36    0x36    0x35
       428    0x01    0x36    0x36    0x36
       432    0x00    0x37    0x37    0x36
       436    0x01    0x37    0x37    0x37
       440    0x00    0x38    0x38    0x37
       444    0x01    0x38    0x38    0x38
       448    0x00    0x39    0x39    0x38
       452    0x01    0x39    0x39    0x39
       456    0x00    0x3a    0x3a    0x39
       460    0x01    0x3a    0x3a    0x3a
       464    0x00    0x3b    0x3b    0x3a
       468    0x01    0x3b    0x3b    0x3b
       472    0x00    0x3c    0x3c    0x3b
       476    0x01    0x3c    0x3c    0x3c
       480    0x00    0x3d    0x3d    0x3c
       484    0x01    0x3d    0x3d    0x3d
       488    0x00    0x3e    0x3e    0x3d
       492    0x01    0x3e    0x3e    0x3e
       496    0x00    0x3f    0x3f    0x3e
       500    0x01    0x3f    0x3f    0x3f
       504    0x00    0x40    0x40    0x3f
       508    0x01    0x40    0x40    0x40
       512    0x00    0x41    0x41    0x40
       516    0x01    0x41    0x41    0x41
       520    0x00    0x42    0x42    0x41
       524    0x01    0x42    0x42    0x42
       528    0x00    0x43    0x43    0x42
       532    0x01    0x43    0x43    0x43
       536    0x00    0x44    0x44    0x43
       540    0x01    0x44    0x44    0x44
       544    0x00    0x45    0x45    0x44
       548    0x01    0x45    0x45    0x45
       552    0x00    0x46    0x46    0x45
       556    0x01    0x46    0x46    0x46
       560    0x00    0x47    0x47    0x46
       564    0x01    0x47    0x47    0x47
       568    0x00    0x48    0x48    0x47
       572    0x01    0x48    0x48    0x48
