VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
         0    0x00    0x00    0x01    0x00    0x00
         4    0x01    0x01    0x01    0x00    0x00
         8    0x00    0x01    0x01    0x00    0x00
        12    0x01    0x00    0x01    0x00    0x00
        16    0x00    0x00    0x01    0x00    0x00
        20    0x01    0x01    0x01    0x00    0x00
        24    0x00    0x01    0x01    0x00    0x00
        28    0x01    0x00    0x01    0x01    0x01
        32    0x00    0x00    0x01    0x01    0x01
        36    0x01    0x01    0x01    0x01    0x01
        40    0x00    0x01    0x01    0x01    0x01
        44    0x01    0x00    0x01    0x02    0x02
        48    0x00    0x00    0x01    0x02    0x02
        52    0x01    0x01    0x01    0x02    0x02
        56    0x00    0x01    0x01    0x02    0x02
        60    0x01    0x00    0x01    0x03    0x03
        64    0x00    0x00    0x01    0x03    0x03
        68    0x01    0x01    0x01    0x03    0x03
        72    0x00    0x01    0x01    0x03    0x03
        76    0x01    0x00    0x01    0x04    0x04
        80    0x00    0x00    0x01    0x04    0x04
        84    0x01    0x01    0x01    0x04    0x04
        88    0x00    0x01    0x01    0x04    0x04
        92    0x01    0x00    0x01    0x05    0x05
        96    0x00    0x00    0x01    0x05    0x05
       100    0x01    0x01    0x01    0x05    0x05
       104    0x00    0x01    0x01    0x05    0x05
       108    0x01    0x00    0x01    0x06    0x06
       112    0x00    0x00    0x01    0x06    0x06
       116    0x01    0x01    0x01    0x06    0x06
       120    0x00    0x01    0x01    0x06    0x06
       124    0x01    0x00    0x01    0x07    0x07
       128    0x00    0x00    0x01    0x07    0x07
       132    0x01    0x01    0x01    0x07    0x07
       136    0x00    0x01    0x01    0x07    0x07
       140    0x01    0x00    0x01    0x08    0x08
       144    0x00    0x00    0x01    0x08    0x08
       148    0x01    0x01    0x01    0x08    0x08
       152    0x00    0x01    0x01    0x08    0x08
       156    0x01    0x00    0x01    0x09    0x09
       160    0x00    0x00    0x01    0x09    0x09
       164    0x01    0x01    0x01    0x09    0x09
       168    0x00    0x01    0x01    0x09    0x09
       172    0x01    0x00    0x01    0x0a    0x0a
       176    0x00    0x00    0x01    0x0a    0x0a
       180    0x01    0x01    0x01    0x0a    0x0a
       184    0x00    0x01    0x01    0x0a    0x0a
       188    0x01    0x00    0x01    0x0b    0x0b
       192    0x00    0x00    0x01    0x0b    0x0b
       196    0x01    0x01    0x01    0x0b    0x0b
       200    0x00    0x01    0x01    0x0b    0x0b
       204    0x01    0x00    0x01    0x0c    0x0c
       208    0x00    0x00    0x01    0x0c    0x0c
       212    0x01    0x01    0x01    0x0c    0x0c
       216    0x00    0x01    0x01    0x0c    0x0c
       220    0x01    0x00    0x01    0x0d    0x0d
       224    0x00    0x00    0x01    0x0d    0x0d
       228    0x01    0x01    0x01    0x0d    0x0d
       232    0x00    0x01    0x01    0x0d    0x0d
       236    0x01    0x00    0x01    0x0e    0x0e
       240    0x00    0x00    0x01    0x0e    0x0e
       244    0x01    0x01    0x01    0x0e    0x0e
       248    0x00    0x01    0x01    0x0e    0x0e
       252    0x01    0x00    0x01    0x0f    0x0f
       256    0x00    0x00    0x01    0x0f    0x0f
       260    0x01    0x01    0x01    0x0f    0x0f
       264    0x00    0x01    0x01    0x0f    0x0f
       268    0x01    0x00    0x01    0x10    0x10
       272    0x00    0x00    0x01    0x10    0x10
       276    0x01    0x01    0x01    0x10    0x10
       280    0x00    0x01    0x01    0x10    0x10
       284    0x01    0x00    0x01    0x11    0x11
       288    0x00    0x00    0x01    0x11    0x11
       292    0x01    0x01    0x01    0x11    0x11
       296    0x00    0x01    0x01    0x11    0x11
       300    0x01    0x00    0x01    0x12    0x12
       304    0x00    0x00    0x01    0x12    0x12
       308    0x01    0x01    0x01    0x12    0x12
       312    0x00    0x01    0x01    0x12    0x12
       316    0x01    0x00    0x01    0x13    0x13
       320    0x00    0x00    0x01    0x13    0x13
       324    0x01    0x01    0x01    0x13    0x13
       328    0x00    0x01    0x01    0x13    0x13
       332    0x01    0x00    0x01    0x14    0x14
       336    0x00    0x00    0x01    0x14    0x14
       340    0x01    0x01    0x01    0x14    0x14
       344    0x00    0x01    0x01    0x14    0x14
       348    0x01    0x00    0x01    0x15    0x15
       352    0x00    0x00    0x01    0x15    0x15
       356    0x01    0x01    0x01    0x15    0x15
       360    0x00    0x01    0x01    0x15    0x15
       364    0x01    0x00    0x01    0x16    0x16
       368    0x00    0x00    0x01    0x16    0x16
       372    0x01    0x01    0x01    0x16    0x16
       376    0x00    0x01    0x01    0x16    0x16
       380    0x01    0x00    0x01    0x17    0x17
       384    0x00    0x00    0x01    0x17    0x17
       388    0x01    0x01    0x01    0x17    0x17
       392    0x00    0x01    0x01    0x17    0x17
       396    0x01    0x00    0x01    0x18    0x18
       400    0x00    0x00    0x01    0x18    0x18
       404    0x01    0x01    0x01    0x18    0x18
       408    0x00    0x01    0x01    0x18    0x18
       412    0x01    0x00    0x01    0x19    0x19
       416    0x00    0x00    0x01    0x19    0x19
       420    0x01    0x01    0x01    0x19    0x19
       424    0x00    0x01    0x01    0x19    0x19
       428    0x01    0x00    0x01    0x1a    0x1a
       432    0x00    0x00    0x01    0x1a    0x1a
       436    0x01    0x01    0x01    0x1a    0x1a
       440    0x00    0x01    0x01    0x1a    0x1a
       444    0x01    0x00    0x01    0x1b    0x1b
       448    0x00    0x00    0x01    0x1b    0x1b
