VCD info: dumpfile ula_and.vcd opened for output.

### Test: and
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
         0    0x01    0x00    0x00    0x00    0x00
         1    0x01    0x00    0x01    0x00    0x00
         2    0x01    0x00    0x02    0x00    0x00
         3    0x01    0x00    0x03    0x00    0x00
         4    0x01    0x00    0x04    0x00    0x00
         5    0x01    0x00    0x05    0x00    0x00
         6    0x01    0x00    0x06    0x00    0x00
         7    0x01    0x00    0x07    0x00    0x00
         8    0x01    0x00    0x08    0x00    0x00
         9    0x01    0x00    0x09    0x00    0x00
        10    0x01    0x00    0x0a    0x00    0x00
        11    0x01    0x00    0x0b    0x00    0x00
        12    0x01    0x00    0x0c    0x00    0x00
        13    0x01    0x00    0x0d    0x00    0x00
        14    0x01    0x00    0x0e    0x00    0x00
        15    0x01    0x00    0x0f    0x00    0x00
        16    0x01    0x00    0x10    0x00    0x00
        17    0x01    0x00    0x11    0x00    0x00
        18    0x01    0x00    0x12    0x00    0x00
        19    0x01    0x00    0x13    0x00    0x00
        20    0x01    0x00    0x14    0x00    0x00
        21    0x01    0x00    0x15    0x00    0x00
        22    0x01    0x00    0x16    0x00    0x00
        23    0x01    0x00    0x17    0x00    0x00
        24    0x01    0x00    0x18    0x00    0x00
        25    0x01    0x00    0x19    0x00    0x00
        26    0x01    0x00    0x1a    0x00    0x00
        27    0x01    0x00    0x1b    0x00    0x00
        28    0x01    0x00    0x1c    0x00    0x00
        29    0x01    0x00    0x1d    0x00    0x00
        30    0x01    0x00    0x1e    0x00    0x00
        31    0x01    0x00    0x1f    0x00    0x00
        32    0x01    0x00    0x20    0x00    0x00
        33    0x01    0x00    0x21    0x00    0x00
        34    0x01    0x00    0x22    0x00    0x00
        35    0x01    0x00    0x23    0x00    0x00
        36    0x01    0x00    0x24    0x00    0x00
        37    0x01    0x00    0x25    0x00    0x00
        38    0x01    0x00    0x26    0x00    0x00
        39    0x01    0x00    0x27    0x00    0x00
        40    0x01    0x00    0x28    0x00    0x00
        41    0x01    0x00    0x29    0x00    0x00
        42    0x01    0x00    0x2a    0x00    0x00
        43    0x01    0x00    0x2b    0x00    0x00
        44    0x01    0x00    0x2c    0x00    0x00
        45    0x01    0x00    0x2d    0x00    0x00
        46    0x01    0x00    0x2e    0x00    0x00
        47    0x01    0x00    0x2f    0x00    0x00
        48    0x01    0x00    0x30    0x00    0x00
        49    0x01    0x00    0x31    0x00    0x00
        50    0x01    0x00    0x32    0x00    0x00
        51    0x01    0x00    0x33    0x00    0x00
        52    0x01    0x00    0x34    0x00    0x00
        53    0x01    0x00    0x35    0x00    0x00
        54    0x01    0x00    0x36    0x00    0x00
        55    0x01    0x00    0x37    0x00    0x00
        56    0x01    0x00    0x38    0x00    0x00
        57    0x01    0x00    0x39    0x00    0x00
        58    0x01    0x00    0x3a    0x00    0x00
        59    0x01    0x00    0x3b    0x00    0x00
        60    0x01    0x00    0x3c    0x00    0x00
        61    0x01    0x00    0x3d    0x00    0x00
        62    0x01    0x00    0x3e    0x00    0x00
        63    0x01    0x00    0x3f    0x00    0x00
        64    0x01    0x00    0x40    0x00    0x00
        65    0x01    0x00    0x41    0x00    0x00
        66    0x01    0x00    0x42    0x00    0x00
        67    0x01    0x00    0x43    0x00    0x00
        68    0x01    0x00    0x44    0x00    0x00
        69    0x01    0x00    0x45    0x00    0x00
        70    0x01    0x00    0x46    0x00    0x00
        71    0x01    0x00    0x47    0x00    0x00
        72    0x01    0x00    0x48    0x00    0x00
        73    0x01    0x00    0x49    0x00    0x00
        74    0x01    0x00    0x4a    0x00    0x00
        75    0x01    0x00    0x4b    0x00    0x00
        76    0x01    0x00    0x4c    0x00    0x00
        77    0x01    0x00    0x4d    0x00    0x00
        78    0x01    0x00    0x4e    0x00    0x00
        79    0x01    0x00    0x4f    0x00    0x00
        80    0x01    0x00    0x50    0x00    0x00
        81    0x01    0x00    0x51    0x00    0x00
        82    0x01    0x00    0x52    0x00    0x00
        83    0x01    0x00    0x53    0x00    0x00
        84    0x01    0x00    0x54    0x00    0x00
        85    0x01    0x00    0x55    0x00    0x00
        86    0x01    0x00    0x56    0x00    0x00
        87    0x01    0x00    0x57    0x00    0x00
        88    0x01    0x00    0x58    0x00    0x00
        89    0x01    0x00    0x59    0x00    0x00
        90    0x01    0x00    0x5a    0x00    0x00
        91    0x01    0x00    0x5b    0x00    0x00
        92    0x01    0x00    0x5c    0x00    0x00
        93    0x01    0x00    0x5d    0x00    0x00
        94    0x01    0x00    0x5e    0x00    0x00
        95    0x01    0x00    0x5f    0x00    0x00
        96    0x01    0x00    0x60    0x00    0x00
        97    0x01    0x00    0x61    0x00    0x00
        98    0x01    0x00    0x62    0x00    0x00
        99    0x01    0x00    0x63    0x00    0x00
       100    0x01    0x00    0x64    0x00    0x00
       101    0x01    0x00    0x65    0x00    0x00
       102    0x01    0x00    0x66    0x00    0x00
       103    0x01    0x00    0x67    0x00    0x00
       104    0x01    0x00    0x68    0x00    0x00
       105    0x01    0x00    0x69    0x00    0x00
       106    0x01    0x00    0x6a    0x00    0x00
       107    0x01    0x00    0x6b    0x00    0x00
       108    0x01    0x00    0x6c    0x00    0x00
       109    0x01    0x00    0x6d    0x00    0x00
       110    0x01    0x00    0x6e    0x00    0x00
       111    0x01    0x00    0x6f    0x00    0x00
       112    0x01    0x00    0x70    0x00    0x00
       113    0x01    0x00    0x71    0x00    0x00
       114    0x01    0x00    0x72    0x00    0x00
       115    0x01    0x00    0x73    0x00    0x00
       116    0x01    0x00    0x74    0x00    0x00
       117    0x01    0x00    0x75    0x00    0x00
       118    0x01    0x00    0x76    0x00    0x00
       119    0x01    0x00    0x77    0x00    0x00
       120    0x01    0x00    0x78    0x00    0x00
       121    0x01    0x00    0x79    0x00    0x00
       122    0x01    0x00    0x7a    0x00    0x00
       123    0x01    0x00    0x7b    0x00    0x00
       124    0x01    0x00    0x7c    0x00    0x00
       125    0x01    0x00    0x7d    0x00    0x00
       126    0x01    0x00    0x7e    0x00    0x00
       127    0x01    0x00    0x7f    0x00    0x00
       128    0x01    0x00    0x80    0x00    0x00
       129    0x01    0x00    0x81    0x00    0x00
       130    0x01    0x00    0x82    0x00    0x00
       131    0x01    0x00    0x83    0x00    0x00
       132    0x01    0x00    0x84    0x00    0x00
       133    0x01    0x00    0x85    0x00    0x00
       134    0x01    0x00    0x86    0x00    0x00
       135    0x01    0x00    0x87    0x00    0x00
       136    0x01    0x00    0x88    0x00    0x00
       137    0x01    0x00    0x89    0x00    0x00
       138    0x01    0x00    0x8a    0x00    0x00
       139    0x01    0x00    0x8b    0x00    0x00
       140    0x01    0x00    0x8c    0x00    0x00
       141    0x01    0x00    0x8d    0x00    0x00
       142    0x01    0x00    0x8e    0x00    0x00
       143    0x01    0x00    0x8f    0x00    0x00
       144    0x01    0x00    0x90    0x00    0x00
       145    0x01    0x00    0x91    0x00    0x00
       146    0x01    0x00    0x92    0x00    0x00
       147    0x01    0x00    0x93    0x00    0x00
       148    0x01    0x00    0x94    0x00    0x00
       149    0x01    0x00    0x95    0x00    0x00
       150    0x01    0x00    0x96    0x00    0x00
       151    0x01    0x00    0x97    0x00    0x00
       152    0x01    0x00    0x98    0x00    0x00
       153    0x01    0x00    0x99    0x00    0x00
       154    0x01    0x00    0x9a    0x00    0x00
       155    0x01    0x00    0x9b    0x00    0x00
       156    0x01    0x00    0x9c    0x00    0x00
       157    0x01    0x00    0x9d    0x00    0x00
       158    0x01    0x00    0x9e    0x00    0x00
       159    0x01    0x00    0x9f    0x00    0x00
       160    0x01    0x00    0xa0    0x00    0x00
       161    0x01    0x00    0xa1    0x00    0x00
       162    0x01    0x00    0xa2    0x00    0x00
       163    0x01    0x00    0xa3    0x00    0x00
       164    0x01    0x00    0xa4    0x00    0x00
       165    0x01    0x00    0xa5    0x00    0x00
       166    0x01    0x00    0xa6    0x00    0x00
       167    0x01    0x00    0xa7    0x00    0x00
       168    0x01    0x00    0xa8    0x00    0x00
       169    0x01    0x00    0xa9    0x00    0x00
       170    0x01    0x00    0xaa    0x00    0x00
       171    0x01    0x00    0xab    0x00    0x00
       172    0x01    0x00    0xac    0x00    0x00
       173    0x01    0x00    0xad    0x00    0x00
       174    0x01    0x00    0xae    0x00    0x00
       175    0x01    0x00    0xaf    0x00    0x00
       176    0x01    0x00    0xb0    0x00    0x00
       177    0x01    0x00    0xb1    0x00    0x00
       178    0x01    0x00    0xb2    0x00    0x00
       179    0x01    0x00    0xb3    0x00    0x00
       180    0x01    0x00    0xb4    0x00    0x00
       181    0x01    0x00    0xb5    0x00    0x00
       182    0x01    0x00    0xb6    0x00    0x00
       183    0x01    0x00    0xb7    0x00    0x00
       184    0x01    0x00    0xb8    0x00    0x00
       185    0x01    0x00    0xb9    0x00    0x00
       186    0x01    0x00    0xba    0x00    0x00
       187    0x01    0x00    0xbb    0x00    0x00
       188    0x01    0x00    0xbc    0x00    0x00
       189    0x01    0x00    0xbd    0x00    0x00
       190    0x01    0x00    0xbe    0x00    0x00
       191    0x01    0x00    0xbf    0x00    0x00
       192    0x01    0x00    0xc0    0x00    0x00
       193    0x01    0x00    0xc1    0x00    0x00
       194    0x01    0x00    0xc2    0x00    0x00
       195    0x01    0x00    0xc3    0x00    0x00
       196    0x01    0x00    0xc4    0x00    0x00
       197    0x01    0x00    0xc5    0x00    0x00
       198    0x01    0x00    0xc6    0x00    0x00
       199    0x01    0x00    0xc7    0x00    0x00
       200    0x01    0x00    0xc8    0x00    0x00
       201    0x01    0x00    0xc9    0x00    0x00
       202    0x01    0x00    0xca    0x00    0x00
       203    0x01    0x00    0xcb    0x00    0x00
       204    0x01    0x00    0xcc    0x00    0x00
       205    0x01    0x00    0xcd    0x00    0x00
       206    0x01    0x00    0xce    0x00    0x00
       207    0x01    0x00    0xcf    0x00    0x00
       208    0x01    0x00    0xd0    0x00    0x00
       209    0x01    0x00    0xd1    0x00    0x00
       210    0x01    0x00    0xd2    0x00    0x00
       211    0x01    0x00    0xd3    0x00    0x00
       212    0x01    0x00    0xd4    0x00    0x00
       213    0x01    0x00    0xd5    0x00    0x00
       214    0x01    0x00    0xd6    0x00    0x00
       215    0x01    0x00    0xd7    0x00    0x00
       216    0x01    0x00    0xd8    0x00    0x00
       217    0x01    0x00    0xd9    0x00    0x00
       218    0x01    0x00    0xda    0x00    0x00
       219    0x01    0x00    0xdb    0x00    0x00
       220    0x01    0x00    0xdc    0x00    0x00
       221    0x01    0x00    0xdd    0x00    0x00
       222    0x01    0x00    0xde    0x00    0x00
       223    0x01    0x00    0xdf    0x00    0x00
       224    0x01    0x00    0xe0    0x00    0x00
       225    0x01    0x00    0xe1    0x00    0x00
       226    0x01    0x00    0xe2    0x00    0x00
       227    0x01    0x00    0xe3    0x00    0x00
       228    0x01    0x00    0xe4    0x00    0x00
       229    0x01    0x00    0xe5    0x00    0x00
       230    0x01    0x00    0xe6    0x00    0x00
       231    0x01    0x00    0xe7    0x00    0x00
       232    0x01    0x00    0xe8    0x00    0x00
       233    0x01    0x00    0xe9    0x00    0x00
       234    0x01    0x00    0xea    0x00    0x00
       235    0x01    0x00    0xeb    0x00    0x00
       236    0x01    0x00    0xec    0x00    0x00
