VCD info: dumpfile ula_not.vcd opened for output.

### Test: not
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
         0    0x00    0x00    0x00    0xff    0xff
         1    0x00    0x00    0x01    0xfe    0xfe
         2    0x00    0x00    0x02    0xfd    0xfd
         3    0x00    0x00    0x03    0xfc    0xfc
         4    0x00    0x00    0x04    0xfb    0xfb
         5    0x00    0x00    0x05    0xfa    0xfa
         6    0x00    0x00    0x06    0xf9    0xf9
         7    0x00    0x00    0x07    0xf8    0xf8
         8    0x00    0x00    0x08    0xf7    0xf7
         9    0x00    0x00    0x09    0xf6    0xf6
        10    0x00    0x00    0x0a    0xf5    0xf5
        11    0x00    0x00    0x0b    0xf4    0xf4
        12    0x00    0x00    0x0c    0xf3    0xf3
        13    0x00    0x00    0x0d    0xf2    0xf2
        14    0x00    0x00    0x0e    0xf1    0xf1
        15    0x00    0x00    0x0f    0xf0    0xf0
        16    0x00    0x00    0x10    0xef    0xef
        17    0x00    0x00    0x11    0xee    0xee
        18    0x00    0x00    0x12    0xed    0xed
        19    0x00    0x00    0x13    0xec    0xec
        20    0x00    0x00    0x14    0xeb    0xeb
        21    0x00    0x00    0x15    0xea    0xea
        22    0x00    0x00    0x16    0xe9    0xe9
        23    0x00    0x00    0x17    0xe8    0xe8
        24    0x00    0x00    0x18    0xe7    0xe7
        25    0x00    0x00    0x19    0xe6    0xe6
        26    0x00    0x00    0x1a    0xe5    0xe5
        27    0x00    0x00    0x1b    0xe4    0xe4
        28    0x00    0x00    0x1c    0xe3    0xe3
        29    0x00    0x00    0x1d    0xe2    0xe2
        30    0x00    0x00    0x1e    0xe1    0xe1
        31    0x00    0x00    0x1f    0xe0    0xe0
        32    0x00    0x00    0x20    0xdf    0xdf
        33    0x00    0x00    0x21    0xde    0xde
        34    0x00    0x00    0x22    0xdd    0xdd
        35    0x00    0x00    0x23    0xdc    0xdc
        36    0x00    0x00    0x24    0xdb    0xdb
        37    0x00    0x00    0x25    0xda    0xda
        38    0x00    0x00    0x26    0xd9    0xd9
        39    0x00    0x00    0x27    0xd8    0xd8
        40    0x00    0x00    0x28    0xd7    0xd7
        41    0x00    0x00    0x29    0xd6    0xd6
        42    0x00    0x00    0x2a    0xd5    0xd5
        43    0x00    0x00    0x2b    0xd4    0xd4
        44    0x00    0x00    0x2c    0xd3    0xd3
        45    0x00    0x00    0x2d    0xd2    0xd2
        46    0x00    0x00    0x2e    0xd1    0xd1
        47    0x00    0x00    0x2f    0xd0    0xd0
        48    0x00    0x00    0x30    0xcf    0xcf
        49    0x00    0x00    0x31    0xce    0xce
        50    0x00    0x00    0x32    0xcd    0xcd
        51    0x00    0x00    0x33    0xcc    0xcc
        52    0x00    0x00    0x34    0xcb    0xcb
        53    0x00    0x00    0x35    0xca    0xca
        54    0x00    0x00    0x36    0xc9    0xc9
        55    0x00    0x00    0x37    0xc8    0xc8
        56    0x00    0x00    0x38    0xc7    0xc7
        57    0x00    0x00    0x39    0xc6    0xc6
        58    0x00    0x00    0x3a    0xc5    0xc5
        59    0x00    0x00    0x3b    0xc4    0xc4
        60    0x00    0x00    0x3c    0xc3    0xc3
        61    0x00    0x00    0x3d    0xc2    0xc2
        62    0x00    0x00    0x3e    0xc1    0xc1
        63    0x00    0x00    0x3f    0xc0    0xc0
        64    0x00    0x00    0x40    0xbf    0xbf
        65    0x00    0x00    0x41    0xbe    0xbe
        66    0x00    0x00    0x42    0xbd    0xbd
        67    0x00    0x00    0x43    0xbc    0xbc
        68    0x00    0x00    0x44    0xbb    0xbb
        69    0x00    0x00    0x45    0xba    0xba
        70    0x00    0x00    0x46    0xb9    0xb9
        71    0x00    0x00    0x47    0xb8    0xb8
        72    0x00    0x00    0x48    0xb7    0xb7
        73    0x00    0x00    0x49    0xb6    0xb6
        74    0x00    0x00    0x4a    0xb5    0xb5
        75    0x00    0x00    0x4b    0xb4    0xb4
        76    0x00    0x00    0x4c    0xb3    0xb3
        77    0x00    0x00    0x4d    0xb2    0xb2
        78    0x00    0x00    0x4e    0xb1    0xb1
        79    0x00    0x00    0x4f    0xb0    0xb0
        80    0x00    0x00    0x50    0xaf    0xaf
        81    0x00    0x00    0x51    0xae    0xae
        82    0x00    0x00    0x52    0xad    0xad
        83    0x00    0x00    0x53    0xac    0xac
        84    0x00    0x00    0x54    0xab    0xab
        85    0x00    0x00    0x55    0xaa    0xaa
        86    0x00    0x00    0x56    0xa9    0xa9
        87    0x00    0x00    0x57    0xa8    0xa8
        88    0x00    0x00    0x58    0xa7    0xa7
        89    0x00    0x00    0x59    0xa6    0xa6
        90    0x00    0x00    0x5a    0xa5    0xa5
        91    0x00    0x00    0x5b    0xa4    0xa4
        92    0x00    0x00    0x5c    0xa3    0xa3
        93    0x00    0x00    0x5d    0xa2    0xa2
        94    0x00    0x00    0x5e    0xa1    0xa1
        95    0x00    0x00    0x5f    0xa0    0xa0
        96    0x00    0x00    0x60    0x9f    0x9f
        97    0x00    0x00    0x61    0x9e    0x9e
        98    0x00    0x00    0x62    0x9d    0x9d
        99    0x00    0x00    0x63    0x9c    0x9c
       100    0x00    0x00    0x64    0x9b    0x9b
       101    0x00    0x00    0x65    0x9a    0x9a
       102    0x00    0x00    0x66    0x99    0x99
       103    0x00    0x00    0x67    0x98    0x98
       104    0x00    0x00    0x68    0x97    0x97
       105    0x00    0x00    0x69    0x96    0x96
       106    0x00    0x00    0x6a    0x95    0x95
       107    0x00    0x00    0x6b    0x94    0x94
       108    0x00    0x00    0x6c    0x93    0x93
       109    0x00    0x00    0x6d    0x92    0x92
       110    0x00    0x00    0x6e    0x91    0x91
       111    0x00    0x00    0x6f    0x90    0x90
       112    0x00    0x00    0x70    0x8f    0x8f
       113    0x00    0x00    0x71    0x8e    0x8e
       114    0x00    0x00    0x72    0x8d    0x8d
       115    0x00    0x00    0x73    0x8c    0x8c
       116    0x00    0x00    0x74    0x8b    0x8b
       117    0x00    0x00    0x75    0x8a    0x8a
       118    0x00    0x00    0x76    0x89    0x89
       119    0x00    0x00    0x77    0x88    0x88
       120    0x00    0x00    0x78    0x87    0x87
       121    0x00    0x00    0x79    0x86    0x86
       122    0x00    0x00    0x7a    0x85    0x85
       123    0x00    0x00    0x7b    0x84    0x84
       124    0x00    0x00    0x7c    0x83    0x83
       125    0x00    0x00    0x7d    0x82    0x82
       126    0x00    0x00    0x7e    0x81    0x81
       127    0x00    0x00    0x7f    0x80    0x80
       128    0x00    0x00    0x80    0x7f    0x7f
       129    0x00    0x00    0x81    0x7e    0x7e
       130    0x00    0x00    0x82    0x7d    0x7d
       131    0x00    0x00    0x83    0x7c    0x7c
       132    0x00    0x00    0x84    0x7b    0x7b
       133    0x00    0x00    0x85    0x7a    0x7a
       134    0x00    0x00    0x86    0x79    0x79
       135    0x00    0x00    0x87    0x78    0x78
       136    0x00    0x00    0x88    0x77    0x77
       137    0x00    0x00    0x89    0x76    0x76
       138    0x00    0x00    0x8a    0x75    0x75
       139    0x00    0x00    0x8b    0x74    0x74
       140    0x00    0x00    0x8c    0x73    0x73
       141    0x00    0x00    0x8d    0x72    0x72
       142    0x00    0x00    0x8e    0x71    0x71
       143    0x00    0x00    0x8f    0x70    0x70
       144    0x00    0x00    0x90    0x6f    0x6f
       145    0x00    0x00    0x91    0x6e    0x6e
       146    0x00    0x00    0x92    0x6d    0x6d
       147    0x00    0x00    0x93    0x6c    0x6c
       148    0x00    0x00    0x94    0x6b    0x6b
       149    0x00    0x00    0x95    0x6a    0x6a
       150    0x00    0x00    0x96    0x69    0x69
       151    0x00    0x00    0x97    0x68    0x68
       152    0x00    0x00    0x98    0x67    0x67
       153    0x00    0x00    0x99    0x66    0x66
       154    0x00    0x00    0x9a    0x65    0x65
       155    0x00    0x00    0x9b    0x64    0x64
       156    0x00    0x00    0x9c    0x63    0x63
       157    0x00    0x00    0x9d    0x62    0x62
       158    0x00    0x00    0x9e    0x61    0x61
       159    0x00    0x00    0x9f    0x60    0x60
       160    0x00    0x00    0xa0    0x5f    0x5f
       161    0x00    0x00    0xa1    0x5e    0x5e
       162    0x00    0x00    0xa2    0x5d    0x5d
       163    0x00    0x00    0xa3    0x5c    0x5c
       164    0x00    0x00    0xa4    0x5b    0x5b
       165    0x00    0x00    0xa5    0x5a    0x5a
       166    0x00    0x00    0xa6    0x59    0x59
       167    0x00    0x00    0xa7    0x58    0x58
       168    0x00    0x00    0xa8    0x57    0x57
       169    0x00    0x00    0xa9    0x56    0x56
       170    0x00    0x00    0xaa    0x55    0x55
       171    0x00    0x00    0xab    0x54    0x54
       172    0x00    0x00    0xac    0x53    0x53
       173    0x00    0x00    0xad    0x52    0x52
       174    0x00    0x00    0xae    0x51    0x51
       175    0x00    0x00    0xaf    0x50    0x50
       176    0x00    0x00    0xb0    0x4f    0x4f
       177    0x00    0x00    0xb1    0x4e    0x4e
       178    0x00    0x00    0xb2    0x4d    0x4d
       179    0x00    0x00    0xb3    0x4c    0x4c
