VCD info: dumpfile ula_sub.vcd opened for output.

### Test: sub
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
         0    0x05    0x00    0x00    0x00    0x00
         1    0x05    0x00    0x01    0xff    0xff
         2    0x05    0x00    0x02    0xfe    0xfe
         3    0x05    0x00    0x03    0xfd    0xfd
         4    0x05    0x00    0x04    0xfc    0xfc
         5    0x05    0x00    0x05    0xfb    0xfb
         6    0x05    0x00    0x06    0xfa    0xfa
         7    0x05    0x00    0x07    0xf9    0xf9
         8    0x05    0x00    0x08    0xf8    0xf8
         9    0x05    0x00    0x09    0xf7    0xf7
        10    0x05    0x00    0x0a    0xf6    0xf6
        11    0x05    0x00    0x0b    0xf5    0xf5
        12    0x05    0x00    0x0c    0xf4    0xf4
        13    0x05    0x00    0x0d    0xf3    0xf3
        14    0x05    0x00    0x0e    0xf2    0xf2
        15    0x05    0x00    0x0f    0xf1    0xf1
        16    0x05    0x00    0x10    0xf0    0xf0
        17    0x05    0x00    0x11    0xef    0xef
        18    0x05    0x00    0x12    0xee    0xee
        19    0x05    0x00    0x13    0xed    0xed
        20    0x05    0x00    0x14    0xec    0xec
        21    0x05    0x00    0x15    0xeb    0xeb
        22    0x05    0x00    0x16    0xea    0xea
        23    0x05    0x00    0x17    0xe9    0xe9
        24    0x05    0x00    0x18    0xe8    0xe8
        25    0x05    0x00    0x19    0xe7    0xe7
        26    0x05    0x00    0x1a    0xe6    0xe6
        27    0x05    0x00    0x1b    0xe5    0xe5
        28    0x05    0x00    0x1c    0xe4    0xe4
        29    0x05    0x00    0x1d    0xe3    0xe3
        30    0x05    0x00    0x1e    0xe2    0xe2
        31    0x05    0x00    0x1f    0xe1    0xe1
        32    0x05    0x00    0x20    0xe0    0xe0
        33    0x05    0x00    0x21    0xdf    0xdf
        34    0x05    0x00    0x22    0xde    0xde
        35    0x05    0x00    0x23    0xdd    0xdd
        36    0x05    0x00    0x24    0xdc    0xdc
        37    0x05    0x00    0x25    0xdb    0xdb
        38    0x05    0x00    0x26    0xda    0xda
        39    0x05    0x00    0x27    0xd9    0xd9
        40    0x05    0x00    0x28    0xd8    0xd8
        41    0x05    0x00    0x29    0xd7    0xd7
        42    0x05    0x00    0x2a    0xd6    0xd6
        43    0x05    0x00    0x2b    0xd5    0xd5
        44    0x05    0x00    0x2c    0xd4    0xd4
        45    0x05    0x00    0x2d    0xd3    0xd3
        46    0x05    0x00    0x2e    0xd2    0xd2
        47    0x05    0x00    0x2f    0xd1    0xd1
        48    0x05    0x00    0x30    0xd0    0xd0
        49    0x05    0x00    0x31    0xcf    0xcf
        50    0x05    0x00    0x32    0xce    0xce
        51    0x05    0x00    0x33    0xcd    0xcd
        52    0x05    0x00    0x34    0xcc    0xcc
        53    0x05    0x00    0x35    0xcb    0xcb
        54    0x05    0x00    0x36    0xca    0xca
        55    0x05    0x00    0x37    0xc9    0xc9
        56    0x05    0x00    0x38    0xc8    0xc8
        57    0x05    0x00    0x39    0xc7    0xc7
        58    0x05    0x00    0x3a    0xc6    0xc6
        59    0x05    0x00    0x3b    0xc5    0xc5
        60    0x05    0x00    0x3c    0xc4    0xc4
        61    0x05    0x00    0x3d    0xc3    0xc3
        62    0x05    0x00    0x3e    0xc2    0xc2
        63    0x05    0x00    0x3f    0xc1    0xc1
        64    0x05    0x00    0x40    0xc0    0xc0
        65    0x05    0x00    0x41    0xbf    0xbf
        66    0x05    0x00    0x42    0xbe    0xbe
        67    0x05    0x00    0x43    0xbd    0xbd
        68    0x05    0x00    0x44    0xbc    0xbc
        69    0x05    0x00    0x45    0xbb    0xbb
        70    0x05    0x00    0x46    0xba    0xba
        71    0x05    0x00    0x47    0xb9    0xb9
        72    0x05    0x00    0x48    0xb8    0xb8
        73    0x05    0x00    0x49    0xb7    0xb7
        74    0x05    0x00    0x4a    0xb6    0xb6
        75    0x05    0x00    0x4b    0xb5    0xb5
        76    0x05    0x00    0x4c    0xb4    0xb4
        77    0x05    0x00    0x4d    0xb3    0xb3
        78    0x05    0x00    0x4e    0xb2    0xb2
        79    0x05    0x00    0x4f    0xb1    0xb1
        80    0x05    0x00    0x50    0xb0    0xb0
        81    0x05    0x00    0x51    0xaf    0xaf
        82    0x05    0x00    0x52    0xae    0xae
        83    0x05    0x00    0x53    0xad    0xad
        84    0x05    0x00    0x54    0xac    0xac
        85    0x05    0x00    0x55    0xab    0xab
        86    0x05    0x00    0x56    0xaa    0xaa
        87    0x05    0x00    0x57    0xa9    0xa9
        88    0x05    0x00    0x58    0xa8    0xa8
        89    0x05    0x00    0x59    0xa7    0xa7
        90    0x05    0x00    0x5a    0xa6    0xa6
        91    0x05    0x00    0x5b    0xa5    0xa5
        92    0x05    0x00    0x5c    0xa4    0xa4
        93    0x05    0x00    0x5d    0xa3    0xa3
        94    0x05    0x00    0x5e    0xa2    0xa2
        95    0x05    0x00    0x5f    0xa1    0xa1
        96    0x05    0x00    0x60    0xa0    0xa0
        97    0x05    0x00    0x61    0x9f    0x9f
        98    0x05    0x00    0x62    0x9e    0x9e
        99    0x05    0x00    0x63    0x9d    0x9d
       100    0x05    0x00    0x64    0x9c    0x9c
       101    0x05    0x00    0x65    0x9b    0x9b
       102    0x05    0x00    0x66    0x9a    0x9a
       103    0x05    0x00    0x67    0x99    0x99
       104    0x05    0x00    0x68    0x98    0x98
       105    0x05    0x00    0x69    0x97    0x97
       106    0x05    0x00    0x6a    0x96    0x96
       107    0x05    0x00    0x6b    0x95    0x95
       108    0x05    0x00    0x6c    0x94    0x94
       109    0x05    0x00    0x6d    0x93    0x93
       110    0x05    0x00    0x6e    0x92    0x92
       111    0x05    0x00    0x6f    0x91    0x91
       112    0x05    0x00    0x70    0x90    0x90
       113    0x05    0x00    0x71    0x8f    0x8f
       114    0x05    0x00    0x72    0x8e    0x8e
       115    0x05    0x00    0x73    0x8d    0x8d
       116    0x05    0x00    0x74    0x8c    0x8c
       117    0x05    0x00    0x75    0x8b    0x8b
       118    0x05    0x00    0x76    0x8a    0x8a
       119    0x05    0x00    0x77    0x89    0x89
       120    0x05    0x00    0x78    0x88    0x88
       121    0x05    0x00    0x79    0x87    0x87
       122    0x05    0x00    0x7a    0x86    0x86
       123    0x05    0x00    0x7b    0x85    0x85
       124    0x05    0x00    0x7c    0x84    0x84
       125    0x05    0x00    0x7d    0x83    0x83
       126    0x05    0x00    0x7e    0x82    0x82
       127    0x05    0x00    0x7f    0x81    0x81
       128    0x05    0x00    0x80    0x80    0x80
       129    0x05    0x00    0x81    0x7f    0x7f
       130    0x05    0x00    0x82    0x7e    0x7e
       131    0x05    0x00    0x83    0x7d    0x7d
       132    0x05    0x00    0x84    0x7c    0x7c
       133    0x05    0x00    0x85    0x7b    0x7b
       134    0x05    0x00    0x86    0x7a    0x7a
       135    0x05    0x00    0x87    0x79    0x79
       136    0x05    0x00    0x88    0x78    0x78
       137    0x05    0x00    0x89    0x77    0x77
       138    0x05    0x00    0x8a    0x76    0x76
       139    0x05    0x00    0x8b    0x75    0x75
       140    0x05    0x00    0x8c    0x74    0x74
       141    0x05    0x00    0x8d    0x73    0x73
       142    0x05    0x00    0x8e    0x72    0x72
       143    0x05    0x00    0x8f    0x71    0x71
       144    0x05    0x00    0x90    0x70    0x70
       145    0x05    0x00    0x91    0x6f    0x6f
       146    0x05    0x00    0x92    0x6e    0x6e
       147    0x05    0x00    0x93    0x6d    0x6d
       148    0x05    0x00    0x94    0x6c    0x6c
       149    0x05    0x00    0x95    0x6b    0x6b
       150    0x05    0x00    0x96    0x6a    0x6a
       151    0x05    0x00    0x97    0x69    0x69
       152    0x05    0x00    0x98    0x68    0x68
       153    0x05    0x00    0x99    0x67    0x67
       154    0x05    0x00    0x9a    0x66    0x66
       155    0x05    0x00    0x9b    0x65    0x65
       156    0x05    0x00    0x9c    0x64    0x64
       157    0x05    0x00    0x9d    0x63    0x63
       158    0x05    0x00    0x9e    0x62    0x62
       159    0x05    0x00    0x9f    0x61    0x61
       160    0x05    0x00    0xa0    0x60    0x60
       161    0x05    0x00    0xa1    0x5f    0x5f
